country,inflation_rate,exports_gdp_share,gdp_growth_rate,gdp_per_capita,adult_literacy_rate,primary_school_enrolment_rate,education_expenditure_gdp_share,measles_immunisation_rate,health_expenditure_gdp_share,income_inequality,unemployment_rate,life_expectancy,total_population
Guyana,6.11505550109935,,63.4398643665041,18199.4748396968,90.0299987792969,,,95.0,,,12.423,65.989,808726.0
Guinea-Bissau,9.39383877456591,21.0509825780844,4.19999023152431,814.111990051955,53.9000015258789,,,75.0,,,3.204,59.861,2105566.0
Guinea,10.4930409984424,43.6701925605735,4.69999999984769,1515.16794777612,,,1.98599994182587,47.0,,,5.328,58.985,13859341.0
Guatemala,6.88512823344287,19.0155395632265,4.11800416923388,5473.20856444589,84.2699966430664,103.906227111816,3.22940993309021,83.0,,,3.051,68.674,17357886.0
Guam,,7.88712011577424,5.09986426216793,40227.2753734558,,,,,,,5.527,78.33,171774.0
Grenada,2.5805392590792,,7.32074061551874,9762.4147210397,,,3.93499994277954,76.0,,,,75.335,125438.0
Greece,9.64525981280632,49.1368296393821,5.55728707963308,20867.2690861087,,,,97.0,,,12.426,80.6365853658537,10426919.0
Ghana,31.2558951049016,34.6640435533587,3.81750462109567,2218.41475790993,,96.5331573486328,2.90499997138977,95.0,,,3.084,63.945,33475870.0
Germany,6.87257438551097,50.9239297257281,1.80620896724351,48717.9911402128,,,4.54389047622681,97.0,12.65471077,,3.135,80.7056097560976,83797985.0
Georgia,11.8981654203198,52.4788792204227,10.9585321385624,6729.84659930283,99.5749893188477,104.548118591309,3.81284999847412,90.0,7.37,33.5,11.657,71.587,3712502.0
"Gambia, The",11.5131198380506,4.61530424157755,4.91782130902605,803.808655006479,58.6699981689453,92.3199996948242,2.7279999256134,74.0,,,6.082,62.906,2705992.0
Gabon,4.23124798274579,61.3838511314544,2.96774164377373,8820.34733809998,85.6900024414062,,2.20799994468689,52.0,,,20.501,65.694,2388992.0
French Polynesia,,21.096822594212,4.46607459000271,18984.8510962405,,,,,,,11.911,83.55,306279.0
France,5.22236748369735,34.686399716266,2.45475817660707,40886.2532680273,,102.696418762207,,94.0,,,7.308,82.2292682926829,67971311.0
Finland,7.12350773301402,45.4164752117211,1.33546730512326,50734.7107480889,,98.6190185546875,,94.0,,,6.719,81.1878048780488,5556106.0
Fiji,4.52019266394958,48.0727753698823,20.0164641552219,5356.16438036291,,108.043998718262,,99.0,,,4.481,68.312,929766.0
Faroe Islands,,62.3981114603991,5.39848038908718,66979.2773224808,,,,,,,,83.3,53090.0
Ethiopia,33.8898797100898,8.24396237462472,5.32117628383672,1027.49863136325,,85.5350036621094,3.73600006103516,56.0,,,3.493,65.645,123379924.0
Eswatini,,43.8311559556415,0.475769339744119,3986.88723918267,,,5.69299983978271,83.0,,,37.852,56.36,1201670.0
Estonia,19.3982634080616,85.7817438098806,-0.461002668410416,28114.1431760201,,99.2638168334961,,82.0,6.94306278,,5.571,77.9439024390244,1348840.0
Equatorial Guinea,4.78671704710803,57.2376192975686,3.71601059354751,8052.25652929933,,,,53.0,,,8.746,61.19,1674908.0
El Salvador,7.19861615609867,31.665057776255,2.79955216943868,5048.443972532,,,4.5310001373291,65.0,,38.8,2.999,71.475,6336392.0
"Egypt, Arab Rep.",13.8956609775178,15.0870258208479,6.58784560886967,4295.40749561014,74.5,91.5901794433594,,96.0,,,7.344,70.159,110990103.0
Ecuador,3.46616972213077,30.7865967428238,6.18613907258741,6476.64457530137,93.9481201171875,97.5341033935547,3.64703989028931,74.0,,45.5,3.761,77.894,18001000.0
Dominican Republic,8.81109209279587,22.0627315413808,4.85832403582451,10111.2457110261,95.5,100.492286682129,3.94000005722046,91.0,,37.0,5.504,74.17,11228821.0
Dominica,7.7806152516404,,5.58354626264079,8347.32336031537,,91.8765411376953,4.65700006484985,83.0,,,,72.981,72737.0
Djibouti,5.17980847967061,169.000456477795,3.72857647005031,3278.138695825,,64.3954010009766,,50.0,,,26.367,62.859,1120849.0
Denmark,7.6965669988926,70.0123894394154,2.73117445421431,67790.0539923276,,100.244453430176,,95.0,9.5,,4.434,81.3048780487805,5903037.0
Czechia,15.1001651468371,76.4523242521964,2.35100353961535,27226.6156386023,,,,97.0,,,2.224,79.0292682926829,10672118.0
Cyprus,8.39548297993334,95.0377110559096,5.05812800841309,32048.248046875,,,,86.0,,,6.807,81.889,1251488.0
Curacao,,,7.89999999999999,20492.815311294,,123.561996459961,,,,,,,149996.0
Croatia,10.7805806758686,58.8371599790568,7.02722588804099,18673.1779905036,,,,90.0,,,6.96,77.5756097560976,3855641.0
Cote d'Ivoire,5.27616724262846,24.5266423324517,6.2178509127107,2491.89593372995,,94.6489410400391,3.51972007751465,65.0,,,2.434,58.916,28160542.0
Costa Rica,8.27477490232654,40.5665549762927,4.55149177958398,13365.3563992546,,107.611297607422,,90.0,,47.2,11.325,77.32,5180829.0
"Congo, Rep.",3.04344334698478,63.8121468562925,1.47535613247133,2649.23063369467,,,2.95199990272522,65.0,,,20.261,63.053,5970424.0
"Congo, Dem. Rep.",,45.4979499673434,8.92444762563109,664.593543336696,80.5400009155273,,3.00300002098083,56.0,,,4.585,59.743,99010212.0
Comoros,,12.7160796545449,2.38767848524202,1484.89246532042,61.7099990844727,,2.43199992179871,86.0,,,5.854,63.68,836774.0
Colombia,10.1772313546166,20.2324003888988,7.2888838865514,6657.08669677355,,104.830467224121,,88.0,,54.8,10.547,73.659,51874024.0
China,1.97357555739051,20.7914822486501,2.98908408613474,12662.5831692254,,100.171730041504,3.29838752746582,99.0,,,4.98,78.587,1412175000.0
Chile,11.6438667110561,35.515107072528,2.05874008095333,15411.1739539112,97.1600036621094,100.192268371582,,94.0,9.00162983,43.0,8.299,79.519,19603733.0
Channel Islands,,,7.80517874537352,64501.2742419548,,,,,,,5.91,81.583,174079.0
Chad,5.78802687843616,49.3201339326375,2.80434074839411,699.463254485574,27.2800006866455,90.3641204833984,2.53900003433228,56.0,,37.4,1.104,52.997,17723315.0
Central African Republic,5.58316735183247,12.3004999986493,0.502110003427035,427.058096191269,,,2.11500000953674,41.0,,,6.337,54.477,5579144.0
Cayman Islands,,,5.15632991974057,96073.7635946963,,87.6824264526367,,,,,,,68706.0
Canada,6.80280115341613,33.8450475582139,3.81986633913397,55509.393176404,,,4.13957166671753,92.0,11.15471363,,5.28,81.2956097560976,38939056.0
Cameroon,6.24767713343861,19.2914840833134,3.58279631926052,1563.48894034459,,110.715507507324,2.61800003051758,65.0,,,3.687,60.958,27914536.0
Cambodia,5.34370264895437,68.3352522968929,5.2398102893046,1759.60802346044,83.7799987792969,109.958999633789,,83.0,,,0.247,69.896,16767842.0
Cabo Verde,7.93092925430087,39.7330586126247,17.439079439153,3883.91115917161,91.0,,,95.0,,,12.272,74.722,593149.0
Burundi,18.8008786664945,4.9710985076333,1.84899943948213,259.025031363088,75.5400009155273,103.901000976562,4.82100009918213,89.0,,,0.919,61.977,12889576.0
Burkina Faso,14.2902354303358,31.5344130182468,1.77791543778547,830.043965850311,34.4900016784668,82.3567962646484,5.27699995040894,88.0,,,5.348,59.766,22673762.0
Bulgaria,15.3252589264366,69.1940036628315,3.92643222124569,13974.4492487792,,,,91.0,,,4.268,74.3609756097561,6465097.0
Brunei Darussalam,3.68225030604216,86.3893568836847,-1.62833154515108,37152.4769749763,,,,97.0,,,5.191,74.551,449002.0
Brazil,9.28010608956873,19.6307650034371,3.01669435393015,9065.49733395404,94.6900024414062,,,81.0,,52.0,9.231,73.425,215313498.0
Botswana,11.665567478802,43.5418799471132,5.48602817797183,7726.11099664689,,,,90.0,,,23.615,65.913,2630296.0
Bosnia and Herzegovina,,48.1258841642514,4.22681101095546,7587.58817346075,98.3000030517578,87.8222198486328,,58.0,,,12.657,75.293,3233526.0
Bolivia,1.74632872945969,32.6115548527874,3.60568042633635,3600.12163502163,,99.5986480712891,7.7407398223877,69.0,,,3.552,64.928,12224110.0
Bhutan,5.63916671396365,25.7916518355066,5.21386783786224,3704.01839495326,72.0999984741211,103.800003051758,8.14200019836426,97.0,,28.5,5.947,72.229,782455.0
Bermuda,,50.463452895894,6.43113399633694,123091.123516,,85.4250030517578,1.92200005054474,,,,,81.571,63595.0
Benin,1.35077863583527,21.6532095498925,6.25324491401346,1304.99479694323,47.0999984741211,113.04891204834,3.21099996566772,68.0,,,1.473,59.954,13352864.0
Belize,6.27689319447544,52.3749558700201,8.73431143782066,6984.21695968163,,99.9364624023438,4.47305011749268,81.0,,,8.724,70.962,405272.0
Belgium,9.597511728725,95.7022354373412,3.01472197492703,49942.0906424887,,,,96.0,,,5.558,81.6975609756098,11685814.0
Belarus,15.209675274081,63.0511868938428,-4.65824489149375,7994.64806074889,,94.7119674682617,5.18737077713013,98.0,,,3.574,73.1114634146342,9228071.0
Barbados,,34.2820015780029,13.4808615694709,20738.4511868198,,95.5793075561523,4.50875997543335,85.0,,,8.493,77.706,281635.0
Bangladesh,7.69695437176898,12.8822264348985,7.09982877575158,2687.89906307087,,117.658996582031,1.97300004959106,97.0,,33.4,5.247,73.698,171186372.0
Bahrain,3.62574104304482,,4.89150020694356,30146.925026365,97.8724822998047,92.3441925048828,1.98699998855591,99.0,,,1.326,79.246,1472233.0
"Bahamas, The",5.60540633583044,39.4270880911056,10.7820132001503,32041.2503902591,,,3.17400002479553,80.0,,,9.87,74.358,409984.0
Azerbaijan,13.8522590144267,59.9868480668076,4.71480236521231,7770.594223351,,99.8082962036133,2.90400004386902,93.0,,,5.65,73.488,10141756.0
Austria,8.5468699318845,62.0831749838848,4.80643020178459,52084.6811953372,,100.77562713623,4.77447128295898,95.0,,,4.992,81.0926829268293,9041851.0
Australia,6.59409671341846,25.4271241344048,4.26894639349867,65077.676668821,,99.1329879760742,5.20677661895752,96.0,,,3.701,83.2,26014399.0
Aruba,,83.1246052910135,10.45831735343,33300.8388187011,,,,,,,,74.992,106445.0
Armenia,8.64091108973855,50.0136476951451,12.5999999997766,7018.05150434798,,92.9023818969727,2.49326992034912,95.0,,27.9,8.608,73.372,2780469.0
Argentina,,16.2995616770379,4.95636996008236,13650.6046294524,,,,83.0,,40.7,6.805,76.064,46234830.0
Antigua and Barbuda,7.53107834634288,54.689582143537,9.51639564359461,19919.7266867883,,,3.64800000190735,99.0,,,,79.236,93763.0
Angola,21.3552901320822,44.3996170780022,3.04540300954928,2933.48464381415,72.4000015258789,,2.33200001716614,37.0,,,14.693,61.929,35588987.0
